AcademicYear,Stu_deID,School_deID,GradeLevel,DOB,TestAge,StudentGender,StudentEthnicity,Special_Education,Homeless,SocioEconomically,TestDayName,TestDate,OverallScore,OverallLevel,ExpectedAttendanceDays,DaysAttended,AttendedPct,EnrolledPct,GradeEnrolledPct,GradeAttendedPct,TeacherGender,TeacherTotalYearsOfService,TeacherEthnicity
2017-2018,0,3,1,2011-07-04,6.828340075429338,F,Hispanic,N,Y,Y,Wednesday,2018-05-02,1503,4,180.0,175.0,0.9722222222222222,1.0,1.9999989999999999,1.9722222222222223,F,4,Hispanic
2017-2018,1,5,4,2008-07-28,9.63195685058557,M,Hispanic,N,N,Y,Friday,2018-03-16,1535,3,180.0,168.0,0.9333333333333333,1.0,4.999999,4.933333333333334,F,2,Multiple
2017-2018,3,3,4,2008-05-06,9.90574755128442,M,Hispanic,Y,N,N,Monday,2018-04-02,1480,2,180.0,175.0,0.9722222222222222,1.0,4.999999,4.972222222222222,F,18,White
2017-2018,4,3,0,2012-04-13,6.10827053259136,M,Hispanic,N,N,Y,Wednesday,2018-05-23,1461,4,180.0,125.0,0.6944444444444444,1.0,0.999999,0.6944444444444444,F,1,White
2017-2018,5,7,0,2011-09-25,6.6640656550100275,M,Hispanic,N,N,Y,Friday,2018-05-25,1357,1,180.0,165.0,0.9166666666666666,1.0,0.999999,0.9166666666666666,F,17,Hispanic
2017-2018,6,7,4,2008-09-10,9.489585686222167,F,Hispanic,N,N,Y,Thursday,2018-03-08,1516,3,180.0,169.0,0.9388888888888889,1.0,4.999999,4.938888888888889,F,18,Hispanic
2017-2018,7,8,4,2008-07-03,9.634694757592559,M,Hispanic,N,N,Y,Tuesday,2018-02-20,1506,3,180.0,174.0,0.9666666666666667,1.0,4.999999,4.966666666666667,F,5,Hispanic
2017-2018,8,3,2,2010-05-19,7.959095669315592,M,Hispanic,N,Y,Y,Friday,2018-05-04,1423,2,180.0,165.0,0.9166666666666666,1.0,2.999999,2.9166666666666665,F,11,Hispanic
2017-2018,9,7,0,2012-11-16,5.508668898060877,F,Hispanic,N,N,N,Monday,2018-05-21,1408,2,169.0,164.0,0.9704142011834319,0.9388888888888889,0.9388888888888889,0.9704142011834319,F,2,Hispanic
2017-2018,10,0,3,2009-04-19,8.8626049816218,M,Hispanic,N,N,Y,Wednesday,2018-02-28,1490,3,180.0,156.0,0.8666666666666667,1.0,3.999999,3.8666666666666667,F,7,White
2017-2018,11,3,1,2010-12-06,7.416990081931867,F,Hispanic,N,N,Y,Monday,2018-05-07,1468,4,180.0,155.0,0.8611111111111112,1.0,1.9999989999999999,1.8611111111111112,F,3,White
2017-2018,12,1,6,2006-10-10,11.343148729953388,F,Hispanic,N,Y,Y,Monday,2018-02-12,1537,3,180.0,176.0,0.9777777777777777,1.0,6.999999,6.977777777777778,F,2,Asian
2017-2018,13,0,2,2010-08-24,7.720897759707592,M,Hispanic,N,N,Y,Monday,2018-05-14,1437,2,177.0,144.0,0.8135593220338984,0.9833333333333333,2.9833333333333334,2.8135593220338984,F,2,White
2017-2018,15,9,1,2010-10-20,7.507341013162488,M,Hispanic,Y,N,Y,Monday,2018-04-23,1464,3,180.0,175.0,0.9722222222222222,1.0,1.9999989999999999,1.9722222222222223,F,1,Hispanic
2017-2018,17,0,0,2011-09-29,6.58740425881435,F,Hispanic,N,N,Y,Tuesday,2018-05-01,1628,4,180.0,175.0,0.9722222222222222,1.0,0.999999,0.9722222222222222,F,2,White
2017-2018,18,9,2,2009-12-01,8.391684976419777,M,Hispanic,N,N,Y,Monday,2018-04-23,1497,4,180.0,163.0,0.9055555555555556,1.0,2.999999,2.9055555555555554,F,14,White
2017-2018,19,3,4,2008-05-04,9.834561969102719,M,Hispanic,Y,N,Y,Monday,2018-03-05,1498,3,180.0,158.0,0.8777777777777778,1.0,4.999999,4.877777777777778,F,2,White
2017-2018,20,7,1,2011-05-26,6.998090309862626,M,Hispanic,N,N,Y,Friday,2018-05-25,1429,2,180.0,150.0,0.8333333333333334,1.0,1.9999989999999999,1.8333333333333335,F,8,Hispanic
2017-2018,21,2,4,2008-08-03,9.508751035271088,M,Hispanic,N,N,Y,Monday,2018-02-05,1498,3,180.0,171.0,0.95,1.0,4.999999,4.95,F,4,White
2017-2018,22,4,0,2011-09-26,6.579190537793384,F,Hispanic,N,N,Y,Wednesday,2018-04-25,1439,3,180.0,176.0,0.9777777777777777,1.0,0.999999,0.9777777777777777,F,6,Hispanic
2017-2018,24,3,1,2010-09-14,7.688042875623729,M,Hispanic,N,N,Y,Wednesday,2018-05-23,1444,3,180.0,137.0,0.7611111111111111,1.0,1.9999989999999999,1.761111111111111,F,4,Hispanic
2017-2018,25,2,0,2012-10-12,5.4730761069700264,F,Hispanic,N,Y,Y,Tuesday,2018-04-03,1410,2,180.0,165.0,0.9166666666666666,1.0,0.999999,0.9166666666666666,F,1,White
2017-2018,26,0,0,2012-10-09,5.634612620382349,F,Hispanic,Y,N,Y,Tuesday,2018-05-29,1396,2,180.0,161.0,0.8944444444444445,1.0,0.999999,0.8944444444444445,F,11,Hispanic
2017-2018,27,4,4,2008-04-15,9.859203132165616,M,Hispanic,Y,N,Y,Friday,2018-02-23,1428,1,180.0,172.0,0.9555555555555556,1.0,4.999999,4.955555555555556,F,4,Hispanic
2017-2018,28,1,3,2009-08-21,8.482035907650397,F,Hispanic,N,Y,Y,Tuesday,2018-02-13,1474,2,180.0,159.0,0.8833333333333333,1.0,3.999999,3.8833333333333333,F,9,Hispanic
2017-2018,29,7,2,2010-01-31,8.265741254098305,M,Hispanic,Y,N,Y,Tuesday,2018-05-08,1470,3,180.0,145.0,0.8055555555555556,1.0,2.999999,2.8055555555555554,F,19,Hispanic
2017-2018,30,9,1,2010-12-13,7.427941709959821,M,Hispanic,N,N,Y,Friday,2018-05-18,1457,3,180.0,180.0,1.0,1.0,1.9999989999999999,1.9999989999999999,F,15,Hispanic
2017-2018,31,1,5,2007-02-09,11.00912407510079,M,Hispanic,N,N,Y,Monday,2018-02-12,1493,3,180.0,176.0,0.9777777777777777,1.0,5.999999,5.977777777777778,F,6,White
2017-2018,32,4,0,2012-08-20,5.678419132494165,M,Hispanic,N,N,Y,Wednesday,2018-04-25,1425,3,180.0,164.0,0.9111111111111111,1.0,0.999999,0.9111111111111111,F,6,Hispanic
2017-2018,33,1,3,2008-09-23,9.391021033970581,M,Hispanic,N,N,Y,Tuesday,2018-02-13,1512,3,180.0,161.0,0.8944444444444445,1.0,3.999999,3.8944444444444444,F,9,Hispanic
2017-2018,34,8,2,2010-02-10,8.027543344490304,F,Hispanic,N,N,Y,Tuesday,2018-02-20,1442,2,180.0,157.0,0.8722222222222222,1.0,2.999999,2.8722222222222222,F,10,White
2017-2018,35,0,0,2012-05-16,6.023395415374717,M,Hispanic,N,N,Y,Friday,2018-05-25,1445,4,180.0,172.0,0.9555555555555556,1.0,0.999999,0.9555555555555556,F,4,Hispanic
2017-2018,36,7,0,2011-09-07,6.669541469024004,M,Filipino,N,Y,Y,Wednesday,2018-05-09,1459,4,180.0,149.0,0.8277777777777777,1.0,0.999999,0.8277777777777777,F,2,Hispanic
2017-2018,37,7,0,2011-12-14,6.445033094450947,F,Hispanic,N,N,Y,Friday,2018-05-25,1439,3,180.0,172.0,0.9555555555555556,1.0,0.999999,0.9555555555555556,F,17,Hispanic
2017-2018,38,2,3,2009-07-31,8.509414977720281,F,Hispanic,N,N,Y,Friday,2018-02-02,1535,3,180.0,175.0,0.9722222222222222,1.0,3.999999,3.9722222222222223,F,2,White
2017-2018,39,0,0,2012-03-21,6.1466012306892,M,Hispanic,N,Y,Y,Monday,2018-05-14,1432,3,180.0,151.0,0.8388888888888889,1.0,0.999999,0.8388888888888889,F,4,Hispanic
2017-2018,40,2,6,2006-08-30,11.438975475197985,F,Hispanic,N,N,Y,Tuesday,2018-02-06,1583,4,180.0,148.0,0.8222222222222222,1.0,6.999999,6.822222222222222,F,10,White
2017-2018,41,9,4,2008-07-21,9.588150338473755,F,Hispanic,N,N,Y,Wednesday,2018-02-21,1544,4,180.0,153.0,0.85,1.0,4.999999,4.85,F,2,Filipino
2017-2018,43,1,0,2011-10-13,6.5846663518073605,M,Hispanic,Y,Y,Y,Monday,2018-05-14,1437,3,163.0,153.0,0.9386503067484663,0.9055555555555556,0.9055555555555556,0.9386503067484663,F,5,Hispanic
2017-2018,45,7,0,2011-11-23,6.499791234590717,F,Hispanic,N,N,Y,Thursday,2018-05-24,1402,2,180.0,178.0,0.9888888888888889,1.0,0.999999,0.9888888888888889,F,17,Hispanic
